Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=494;4*a(1)""","",0,3218,3455,1605632,422,1,0,8,24999
"bc -le ""scale=494;4*a(1)""","",0,3234,3444,1605632,422,1,0,7,25084
"bc -le ""scale=494;4*a(1)""","",0,3239,3466,1605632,422,1,0,8,25028
"bc -le ""scale=494;4*a(1)""","",0,3202,3335,1605632,422,1,0,6,24932
"bc -le ""scale=494;4*a(1)""","",0,3205,3493,1605632,422,1,0,7,25048
"bc -le ""scale=494;4*a(1)""","",0,3240,2126,1605632,422,1,0,6,25148
"bc -le ""scale=494;4*a(1)""","",0,3238,3467,1605632,422,1,0,7,25149
"bc -le ""scale=494;4*a(1)""","",0,3245,3470,1605632,422,1,0,10,25306
"bc -le ""scale=494;4*a(1)""","",0,3243,3441,1605632,422,1,0,7,25179
"bc -le ""scale=494;4*a(1)""","",0,3241,3459,1605632,422,1,0,7,25230
"bc -le ""scale=494;4*a(1)""","",0,3242,2829,1605632,422,1,0,9,25001
"bc -le ""scale=494;4*a(1)""","",0,3207,3335,1605632,422,1,0,7,25102
"bc -le ""scale=492;4*a(1)""","",0,3162,3404,1605632,422,1,0,6,24891
"bc -le ""scale=492;4*a(1)""","",0,3197,3342,1605632,422,1,0,9,25002
"bc -le ""scale=492;4*a(1)""","",0,3209,3343,1605632,422,1,0,6,25115
"bc -le ""scale=492;4*a(1)""","",0,3189,3410,1605632,422,1,0,6,25133
"bc -le ""scale=492;4*a(1)""","",0,3196,3433,1605632,422,1,0,9,25053
"bc -le ""scale=492;4*a(1)""","",0,3179,1909,1605632,422,1,0,6,25293
"bc -le ""scale=492;4*a(1)""","",0,3189,2289,1605632,422,1,0,9,25093
"bc -le ""scale=492;4*a(1)""","",0,3149,2772,1605632,422,1,0,7,25056
"bc -le ""scale=492;4*a(1)""","",0,3198,3287,1605632,422,1,0,8,25082
"bc -le ""scale=492;4*a(1)""","",0,3160,3441,1605632,422,1,0,7,25136
"bc -le ""scale=492;4*a(1)""","",0,3167,3394,1605632,422,1,0,7,24970
"bc -le ""scale=492;4*a(1)""","",0,3159,3309,1605632,422,1,0,7,24993
"bc -le ""scale=492;4*a(1)""","",0,3177,3307,1605632,422,1,0,7,25055
"bc -le ""scale=492;4*a(1)""","",0,3179,3364,1605632,422,1,0,6,25083
"bc -le ""scale=492;4*a(1)""","",0,3200,3442,1605632,422,1,0,7,25275
"bc -le ""scale=492;4*a(1)""","",0,3188,3414,1605632,422,1,0,8,25024
"bc -le ""scale=492;4*a(1)""","",0,3185,3498,1605632,422,1,0,9,26641
"bc -le ""scale=492;4*a(1)""","",0,3176,1618,1605632,422,1,0,8,25414
"bc -le ""scale=492;4*a(1)""","",0,3193,3454,1605632,422,1,0,7,25277
"bc -le ""scale=492;4*a(1)""","",0,3169,1602,1605632,422,1,0,7,24996
"bc -le ""scale=492;4*a(1)""","",0,3169,3404,1605632,422,1,0,7,25125
"bc -le ""scale=492;4*a(1)""","",0,3147,3426,1605632,422,1,0,10,24913
"bc -le ""scale=492;4*a(1)""","",0,3180,3496,1605632,422,1,0,8,25432
"bc -le ""scale=492;4*a(1)""","",0,3176,3425,1605632,422,1,0,7,25050
"bc -le ""scale=492;4*a(1)""","",0,3168,3452,1605632,424,1,0,7,25398
"bc -le ""scale=492;4*a(1)""","",0,3181,3451,1605632,424,1,0,8,25060
"bc -le ""scale=492;4*a(1)""","",0,3163,1620,1605632,424,1,0,7,25181
"bc -le ""scale=492;4*a(1)""","",0,3196,1775,1605632,423,1,0,8,25136
"bc -le ""scale=492;4*a(1)""","",0,3192,2710,1605632,423,1,0,7,25402
"bc -le ""scale=492;4*a(1)""","",0,3181,3397,1605632,423,1,0,5,24960
"bc -le ""scale=492;4*a(1)""","",0,3157,3425,1605632,423,1,0,8,25184
"bc -le ""scale=492;4*a(1)""","",0,3150,3399,1605632,423,1,0,6,24997
"bc -le ""scale=492;4*a(1)""","",0,3176,2607,1605632,423,1,0,5,25172
