Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=695;4*a(1)""","",0,6331,3363,1605632,423,1,0,5,28467
"bc -le ""scale=695;4*a(1)""","",0,6337,2224,1605632,423,1,0,9,28662
"bc -le ""scale=695;4*a(1)""","",0,6338,3279,1605632,423,1,0,5,28525
"bc -le ""scale=695;4*a(1)""","",0,6322,3058,1605632,423,1,0,8,28671
"bc -le ""scale=695;4*a(1)""","",0,6354,3447,1605632,423,1,0,8,28648
"bc -le ""scale=695;4*a(1)""","",0,6351,3361,1605632,423,1,0,8,28533
"bc -le ""scale=695;4*a(1)""","",0,6312,3452,1605632,423,1,0,6,28654
"bc -le ""scale=695;4*a(1)""","",0,6322,3423,1605632,423,1,0,6,28684
"bc -le ""scale=695;4*a(1)""","",0,6315,3448,1605632,423,1,0,10,28728
"bc -le ""scale=695;4*a(1)""","",0,6313,2910,1605632,422,1,0,8,28528
"bc -le ""scale=695;4*a(1)""","",0,6314,3423,1605632,422,1,0,9,28642
"bc -le ""scale=695;4*a(1)""","",0,6338,3445,1605632,422,1,0,6,28360
"bc -le ""scale=695;4*a(1)""","",0,6292,3452,1605632,422,1,0,8,28632
"bc -le ""scale=695;4*a(1)""","",0,6331,3388,1605632,423,1,0,8,28430
"bc -le ""scale=695;4*a(1)""","",0,6317,1467,1605632,422,1,0,5,28966
"bc -le ""scale=695;4*a(1)""","",0,6303,3394,1605632,422,1,0,8,29481
"bc -le ""scale=695;4*a(1)""","",0,6326,3431,1605632,422,1,0,8,28738
"bc -le ""scale=695;4*a(1)""","",0,6573,3439,1605632,422,1,0,6,28592
"bc -le ""scale=695;4*a(1)""","",0,6345,3382,1605632,422,1,0,9,29539
"bc -le ""scale=695;4*a(1)""","",0,6306,3445,1605632,422,1,0,8,28809
"bc -le ""scale=695;4*a(1)""","",0,6321,3403,1605632,422,1,0,6,28679
"bc -le ""scale=695;4*a(1)""","",0,6324,3373,1605632,422,1,0,7,28778
"bc -le ""scale=695;4*a(1)""","",0,6330,3458,1605632,422,1,0,5,28469
"bc -le ""scale=695;4*a(1)""","",0,6342,1456,1605632,422,1,0,7,28596
"bc -le ""scale=695;4*a(1)""","",0,6304,3409,1605632,422,1,0,8,28475
"bc -le ""scale=695;4*a(1)""","",0,6332,3411,1605632,422,1,0,10,28676
"bc -le ""scale=695;4*a(1)""","",0,6315,3347,1605632,422,1,0,7,28392
"bc -le ""scale=695;4*a(1)""","",0,6353,2678,1605632,422,1,0,7,28722
"bc -le ""scale=695;4*a(1)""","",0,6306,1978,1605632,422,1,0,7,28576
"bc -le ""scale=695;4*a(1)""","",0,6327,3403,1605632,422,1,0,8,28755
"bc -le ""scale=695;4*a(1)""","",0,6308,3402,1605632,422,1,0,7,28508
"bc -le ""scale=695;4*a(1)""","",0,6321,2584,1605632,422,1,0,9,28512
"bc -le ""scale=695;4*a(1)""","",0,6360,3165,1605632,422,1,0,7,28842
"bc -le ""scale=695;4*a(1)""","",0,6313,3445,1605632,422,1,0,9,29055
"bc -le ""scale=690;4*a(1)""","",0,6314,1817,1605632,423,1,0,7,28711
"bc -le ""scale=690;4*a(1)""","",0,6287,3468,1605632,423,1,0,10,28435
"bc -le ""scale=690;4*a(1)""","",0,6278,3322,1605632,423,1,0,6,28675
"bc -le ""scale=690;4*a(1)""","",0,6262,3419,1605632,423,1,0,9,28655
"bc -le ""scale=690;4*a(1)""","",0,6261,3415,1605632,423,1,0,8,28486
"bc -le ""scale=690;4*a(1)""","",0,6282,3432,1605632,423,1,0,7,28243
"bc -le ""scale=690;4*a(1)""","",0,6284,3301,1605632,423,1,0,5,28453
"bc -le ""scale=690;4*a(1)""","",0,6269,3311,1605632,423,1,0,6,28343
"bc -le ""scale=690;4*a(1)""","",0,6267,3305,1605632,423,1,0,6,28509
"bc -le ""scale=690;4*a(1)""","",0,6269,3409,1605632,423,1,0,6,28254
"bc -le ""scale=690;4*a(1)""","",0,6387,3424,1605632,423,1,0,8,28844
"bc -le ""scale=690;4*a(1)""","",0,6255,1815,1605632,423,1,0,7,28944
"bc -le ""scale=690;4*a(1)""","",0,6269,3411,1605632,423,1,0,9,28606
"bc -le ""scale=690;4*a(1)""","",0,6273,3402,1605632,423,1,0,8,28303
"bc -le ""scale=690;4*a(1)""","",0,6286,3346,1605632,423,1,0,8,28513
"bc -le ""scale=690;4*a(1)""","",0,6295,3429,1605632,423,1,0,9,28717
"bc -le ""scale=690;4*a(1)""","",0,6313,2080,1605632,423,1,0,7,28626
"bc -le ""scale=690;4*a(1)""","",0,6281,3463,1605632,423,1,0,7,28658
"bc -le ""scale=690;4*a(1)""","",0,6282,2191,1605632,423,1,0,7,28524
"bc -le ""scale=690;4*a(1)""","",0,6294,3471,1605632,423,1,0,6,28457
"bc -le ""scale=690;4*a(1)""","",0,6278,2800,1605632,423,1,0,7,28669
"bc -le ""scale=690;4*a(1)""","",0,6291,3447,1605632,423,1,0,9,28447
"bc -le ""scale=690;4*a(1)""","",0,6283,3467,1605632,423,1,0,8,28573
"bc -le ""scale=690;4*a(1)""","",0,6261,3467,1605632,423,1,0,6,28590
"bc -le ""scale=690;4*a(1)""","",0,6269,3305,1605632,425,1,0,6,28345
"bc -le ""scale=690;4*a(1)""","",0,6249,3305,1605632,425,1,0,6,28616
"bc -le ""scale=690;4*a(1)""","",0,6279,3448,1605632,425,1,0,9,28550
"bc -le ""scale=690;4*a(1)""","",0,6286,3501,1605632,424,1,0,8,28687
"bc -le ""scale=690;4*a(1)""","",0,6234,3432,1605632,424,1,0,7,29516
"bc -le ""scale=690;4*a(1)""","",0,6273,3469,1605632,424,1,0,9,28830
"bc -le ""scale=690;4*a(1)""","",0,6261,3322,1605632,424,1,0,6,28501
"bc -le ""scale=690;4*a(1)""","",0,6273,3446,1605632,424,1,0,7,28617
"bc -le ""scale=690;4*a(1)""","",0,6275,3307,1605632,424,1,0,8,28689
"bc -le ""scale=690;4*a(1)""","",0,6260,3439,1605632,424,1,0,6,28579
"bc -le ""scale=690;4*a(1)""","",0,6255,1568,1605632,424,1,0,9,30207
"bc -le ""scale=690;4*a(1)""","",0,6248,3311,1605632,424,1,0,7,30241
