Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=495;4*a(1)""","",0,3217,3350,1605632,422,1,0,8,25416
"bc -le ""scale=495;4*a(1)""","",0,3234,2736,1605632,422,1,0,7,25224
"bc -le ""scale=495;4*a(1)""","",0,3247,2521,1605632,422,1,0,7,24712
"bc -le ""scale=495;4*a(1)""","",0,3262,3175,1605632,422,1,0,7,24775
"bc -le ""scale=495;4*a(1)""","",0,3243,3455,1605632,423,1,0,9,24794
"bc -le ""scale=495;4*a(1)""","",0,3226,3468,1605632,424,1,0,9,24781
"bc -le ""scale=495;4*a(1)""","",0,3218,3316,1605632,425,1,0,6,24716
"bc -le ""scale=495;4*a(1)""","",0,3234,3442,1605632,424,1,0,10,24893
"bc -le ""scale=495;4*a(1)""","",0,3212,3391,1605632,424,1,0,9,24859
"bc -le ""scale=495;4*a(1)""","",0,3234,3255,1605632,424,1,0,7,24768
"bc -le ""scale=495;4*a(1)""","",0,3226,3275,1605632,424,1,0,5,25052
"bc -le ""scale=495;4*a(1)""","",0,3221,2802,1605632,424,1,0,5,25113
"bc -le ""scale=495;4*a(1)""","",0,3245,2888,1605632,424,1,0,9,24866
"bc -le ""scale=495;4*a(1)""","",0,3248,3468,1605632,424,1,0,6,24716
"bc -le ""scale=495;4*a(1)""","",0,3222,3449,1605632,424,1,0,8,25030
"bc -le ""scale=495;4*a(1)""","",0,3239,2916,1605632,424,1,0,8,24975
"bc -le ""scale=495;4*a(1)""","",0,3253,3424,1605632,424,1,0,9,25026
"bc -le ""scale=495;4*a(1)""","",0,3225,1483,1605632,423,1,0,7,24962
"bc -le ""scale=495;4*a(1)""","",0,3180,3342,1605632,423,1,0,9,24469
"bc -le ""scale=495;4*a(1)""","",0,3216,1469,1605632,423,1,0,7,25020
"bc -le ""scale=495;4*a(1)""","",0,3204,3380,1605632,423,1,0,8,25075
"bc -le ""scale=495;4*a(1)""","",0,3202,3371,1605632,424,1,0,9,24948
"bc -le ""scale=495;4*a(1)""","",0,3194,3343,1605632,423,1,0,7,24692
"bc -le ""scale=495;4*a(1)""","",0,3181,3224,1605632,423,1,0,6,24520
"bc -le ""scale=495;4*a(1)""","",0,3197,3365,1605632,423,1,0,8,24665
"bc -le ""scale=495;4*a(1)""","",0,3185,3362,1605632,423,1,0,9,24602
"bc -le ""scale=495;4*a(1)""","",0,3208,2760,1605632,423,1,0,7,24815
"bc -le ""scale=495;4*a(1)""","",0,3241,3412,1605632,423,1,0,7,24737
"bc -le ""scale=495;4*a(1)""","",0,3227,3437,1605632,423,1,0,8,24960
"bc -le ""scale=495;4*a(1)""","",0,3224,3318,1605632,423,1,0,7,24854
"bc -le ""scale=495;4*a(1)""","",0,3217,2608,1605632,423,1,0,6,24896
"bc -le ""scale=495;4*a(1)""","",0,3210,3412,1605632,423,1,0,7,24794
"bc -le ""scale=495;4*a(1)""","",0,3227,3411,1605632,423,1,0,7,25102
"bc -le ""scale=495;4*a(1)""","",0,3342,3478,1605632,423,1,0,7,24941
"bc -le ""scale=495;4*a(1)""","",0,3253,3411,1605632,423,1,0,7,25026
"bc -le ""scale=495;4*a(1)""","",0,3227,2874,1605632,423,1,0,9,24653
"bc -le ""scale=495;4*a(1)""","",0,3265,3428,1605632,423,1,0,5,24647
"bc -le ""scale=495;4*a(1)""","",0,3244,3248,1605632,423,1,0,6,24839
"bc -le ""scale=495;4*a(1)""","",0,3250,3333,1605632,423,1,0,6,24903
"bc -le ""scale=495;4*a(1)""","",0,3236,3307,1605632,423,1,0,7,24859
"bc -le ""scale=495;4*a(1)""","",0,3248,1604,1605632,423,1,0,8,25350
"bc -le ""scale=495;4*a(1)""","",0,3236,2016,1605632,423,1,0,8,25252
"bc -le ""scale=490;4*a(1)""","",0,3176,3342,1605632,423,1,0,7,24454
"bc -le ""scale=490;4*a(1)""","",0,3180,3423,1605632,423,1,0,9,24653
"bc -le ""scale=490;4*a(1)""","",0,3173,3455,1605632,423,1,0,7,24616
"bc -le ""scale=490;4*a(1)""","",0,3190,1491,1605632,423,1,0,8,24618
"bc -le ""scale=490;4*a(1)""","",0,3186,3434,1605632,423,1,0,6,24338
"bc -le ""scale=490;4*a(1)""","",0,3192,1464,1605632,423,1,0,6,24626
"bc -le ""scale=490;4*a(1)""","",0,3149,1594,1605632,423,1,0,6,24539
"bc -le ""scale=490;4*a(1)""","",0,3179,1665,1605632,423,1,0,6,24649
"bc -le ""scale=490;4*a(1)""","",0,3187,1710,1605632,423,1,0,9,24728
"bc -le ""scale=490;4*a(1)""","",0,3165,1705,1605632,423,1,0,7,24651
"bc -le ""scale=490;4*a(1)""","",0,3202,1962,1605632,423,1,0,6,24678
"bc -le ""scale=490;4*a(1)""","",0,3170,2350,1605632,423,1,0,7,24709
"bc -le ""scale=490;4*a(1)""","",0,3162,2152,1605632,423,1,0,7,24201
"bc -le ""scale=490;4*a(1)""","",0,3183,2627,1605632,423,1,0,8,25114
"bc -le ""scale=490;4*a(1)""","",0,3149,2560,1605632,423,1,0,8,24649
"bc -le ""scale=490;4*a(1)""","",0,3189,3396,1605632,423,1,0,10,25023
"bc -le ""scale=490;4*a(1)""","",0,3152,3369,1605632,423,1,0,8,24323
"bc -le ""scale=490;4*a(1)""","",0,3141,3410,1605632,423,1,0,9,24806
"bc -le ""scale=490;4*a(1)""","",0,3141,3345,1605632,423,1,0,8,24419
"bc -le ""scale=490;4*a(1)""","",0,3210,2028,1605632,423,1,0,7,25778
"bc -le ""scale=490;4*a(1)""","",0,3150,3394,1605632,423,1,0,9,24469
"bc -le ""scale=490;4*a(1)""","",0,3171,3285,1605632,423,1,0,8,24831
"bc -le ""scale=490;4*a(1)""","",0,3172,3404,1605632,423,1,0,7,24463
"bc -le ""scale=490;4*a(1)""","",0,3136,2828,1605632,423,1,0,9,25097
"bc -le ""scale=490;4*a(1)""","",0,3178,1478,1605632,425,1,0,8,24601
"bc -le ""scale=490;4*a(1)""","",0,3148,3407,1605632,425,1,0,10,25056
"bc -le ""scale=490;4*a(1)""","",0,3181,3297,1605632,425,1,0,6,24637
"bc -le ""scale=490;4*a(1)""","",0,3189,3403,1605632,424,1,0,7,25085
"bc -le ""scale=490;4*a(1)""","",0,3171,3268,1605632,424,1,0,7,24569
"bc -le ""scale=490;4*a(1)""","",0,3189,3387,1605632,424,1,0,8,25029
"bc -le ""scale=490;4*a(1)""","",0,3163,3440,1605632,424,1,0,10,24600
"bc -le ""scale=490;4*a(1)""","",0,3192,3396,1605632,424,1,0,8,24709
"bc -le ""scale=490;4*a(1)""","",0,3186,3430,1605632,424,1,0,9,24467
"bc -le ""scale=490;4*a(1)""","",0,3169,3412,1605632,424,1,0,8,25533
"bc -le ""scale=490;4*a(1)""","",0,3166,3441,1605632,424,1,0,7,24860
"bc -le ""scale=490;4*a(1)""","",0,3191,3374,1605632,424,1,0,7,24892
"bc -le ""scale=490;4*a(1)""","",0,3161,1521,1605632,424,1,0,8,24727
"bc -le ""scale=490;4*a(1)""","",0,3189,3388,1605632,424,1,0,7,24790
"bc -le ""scale=490;4*a(1)""","",0,3194,1565,1605632,424,1,0,7,24675
"bc -le ""scale=490;4*a(1)""","",0,3171,3294,1605632,427,1,0,6,25086
"bc -le ""scale=490;4*a(1)""","",0,3189,1741,1605632,424,1,0,8,24726
"bc -le ""scale=490;4*a(1)""","",0,3211,3434,1605632,424,1,0,9,25303
"bc -le ""scale=490;4*a(1)""","",0,3178,3317,1605632,424,1,0,7,24579
"bc -le ""scale=490;4*a(1)""","",0,3166,3378,1605632,424,1,0,8,24959
"bc -le ""scale=490;4*a(1)""","",0,3152,3414,1605632,424,1,0,10,25207
"bc -le ""scale=490;4*a(1)""","",0,3169,3292,1605632,426,1,0,8,25161
"bc -le ""scale=490;4*a(1)""","",0,3176,3407,1605632,425,1,0,7,24807
"bc -le ""scale=490;4*a(1)""","",0,3177,3302,1605632,425,1,0,8,25034
"bc -le ""scale=490;4*a(1)""","",0,3142,3393,1605632,425,1,0,7,24755
"bc -le ""scale=490;4*a(1)""","",0,3169,3431,1605632,425,1,0,9,24593
"bc -le ""scale=490;4*a(1)""","",0,3184,3466,1605632,425,1,0,9,24900
"bc -le ""scale=490;4*a(1)""","",0,3161,3370,1605632,425,1,0,7,24932
"bc -le ""scale=490;4*a(1)""","",0,3186,3414,1605632,426,1,0,9,24776
"bc -le ""scale=490;4*a(1)""","",0,3195,3405,1605632,425,1,0,6,25226
