Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"ls -lar","",0,755,4074,1851392,436,0,0,19,23761
"ls -lar","",0,743,2761,1802240,433,0,0,22,24396
"ls -lar","",0,742,3582,1867776,437,0,0,22,24080
"ls -lar","",0,759,4083,1687552,426,0,0,21,23800
"ls -lar","",0,752,4110,1687552,426,0,0,22,24023
"ls -lar","",0,748,4065,1867776,437,0,0,19,23915
"ls -lar","",0,778,4165,2129920,453,0,0,20,24114
"ls -lar","",0,741,4065,1949696,442,0,0,18,23982
"ls -lar","",0,754,4003,1687552,426,0,0,17,23983
"ls -lar","",0,740,4120,1949696,442,0,0,18,23965
"ls -lar","",0,744,4119,1949696,442,0,0,17,23833
"ls -lar","",0,741,4010,1949696,442,0,0,20,23954
"ls -lar","",0,741,3992,1949696,442,0,0,20,23865
"ls -lar","",0,729,4084,1949696,442,0,0,20,24025
"ls -lar","",0,768,3907,1949696,442,0,0,18,23819
"ls -lar","",0,744,3457,1949696,442,0,0,19,24063
"ls -lar","",0,781,3397,1802240,433,0,0,20,23996
"ls -lar","",0,739,4113,1933312,441,0,0,19,24220
"ls -lar","",0,764,4069,1982464,444,0,0,19,24125
"ls -lar","",0,760,4000,1687552,426,0,0,22,23859
"ls -lar","",0,737,2118,1949696,442,0,0,20,24082
"ls -lar","",0,720,4194,1949696,442,0,0,18,24688
"ls -lar","",0,740,4070,1867776,437,0,0,20,24284
"ls -lar","",0,777,4006,1949696,442,0,0,20,23888
"ls -lar","",0,736,2219,1949696,442,0,0,20,23942
"ls -lar","",0,769,4051,1654784,424,0,0,18,23860
"ls -lar","",0,741,4132,1949696,442,0,0,20,23756
"ls -lar","",0,732,4128,1949696,442,0,0,18,23986
"ls -lar","",0,763,4145,1966080,443,0,0,21,24221
"ls -lar","",0,755,4183,1867776,437,0,0,21,23895
"ls -lar","",0,761,4037,1851392,436,0,0,19,24092
"ls -lar","",0,784,4154,2097152,451,0,0,18,24124
"ls -lar","",0,768,4082,1900544,439,0,0,18,24101
"ls -lar","",0,751,3457,1900544,439,0,0,23,24339
"ls -lar","",0,742,3050,1687552,426,0,0,15,23839
"ls -lar","",0,760,4060,1720320,429,0,0,19,23875
"ls -lar","",0,727,2525,1949696,442,0,0,19,23904
"ls -lar","",0,758,4050,1867776,437,0,0,21,23596
"ls -lar","",0,749,4070,1867776,437,0,0,19,24082
"ls -lar","",0,742,4098,1949696,442,0,0,19,23740
"ls -lar","",0,765,3987,1949696,442,0,0,18,23734
"ls -lar","",0,752,3891,1949696,442,0,0,17,23739
