Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=1000;4*a(1)""","",0,13459,1676,1622016,412,1,0,6,35118
"bc -le ""scale=1000;4*a(1)""","",0,13460,3430,1622016,412,1,0,9,34767
"bc -le ""scale=1000;4*a(1)""","",0,13429,3440,1622016,412,1,0,8,34539
"bc -le ""scale=1000;4*a(1)""","",0,13528,3446,1622016,411,1,0,5,35194
"bc -le ""scale=1000;4*a(1)""","",0,13467,3431,1622016,411,1,0,7,34587
"bc -le ""scale=1000;4*a(1)""","",0,13486,2771,1622016,412,1,0,7,34842
"bc -le ""scale=1000;4*a(1)""","",0,13459,3391,1622016,411,1,0,4,34784
"bc -le ""scale=1000;4*a(1)""","",0,13453,3385,1622016,411,1,0,7,34625
"bc -le ""scale=1000;4*a(1)""","",0,13469,3445,1622016,411,1,0,7,34620
"bc -le ""scale=1000;4*a(1)""","",0,13516,2604,1622016,410,1,0,8,35370
"bc -le ""scale=1000;4*a(1)""","",0,13456,2227,1622016,410,1,0,8,34881
"bc -le ""scale=1000;4*a(1)""","",0,13458,3436,1622016,410,1,0,7,34940
"bc -le ""scale=1000;4*a(1)""","",0,13482,3334,1622016,412,1,0,7,34712
"bc -le ""scale=1000;4*a(1)""","",0,13478,3437,1622016,411,1,0,7,34888
"bc -le ""scale=1000;4*a(1)""","",0,13598,1587,1622016,411,1,0,7,34930
"bc -le ""scale=1000;4*a(1)""","",0,13470,1531,1622016,411,1,0,9,35122
"bc -le ""scale=1000;4*a(1)""","",0,13461,3477,1622016,411,1,0,8,35158
"bc -le ""scale=1000;4*a(1)""","",0,13448,3453,1622016,411,1,0,9,35017
"bc -le ""scale=1000;4*a(1)""","",0,13522,3439,1622016,410,1,0,8,34889
"bc -le ""scale=1000;4*a(1)""","",0,13485,3416,1622016,410,1,0,8,35022
"bc -le ""scale=1000;4*a(1)""","",0,13472,3332,1622016,410,1,0,7,34838
"bc -le ""scale=1000;4*a(1)""","",0,13459,3487,1622016,410,1,0,8,34962
"bc -le ""scale=1000;4*a(1)""","",0,13457,3436,1622016,410,1,0,6,34772
"bc -le ""scale=1000;4*a(1)""","",0,13497,3469,1622016,410,1,0,10,34919
"bc -le ""scale=1000;4*a(1)""","",0,13468,3511,1622016,410,1,0,7,34861
"bc -le ""scale=1000;4*a(1)""","",0,13473,3471,1622016,410,1,0,7,34703
"bc -le ""scale=1000;4*a(1)""","",0,13473,3246,1622016,410,1,0,8,34775
"bc -le ""scale=1000;4*a(1)""","",0,13430,3414,1622016,410,1,0,6,34791
"bc -le ""scale=1000;4*a(1)""","",0,13469,2667,1622016,410,1,0,9,34878
"bc -le ""scale=1000;4*a(1)""","",0,13466,2001,1622016,410,1,0,8,35548
"bc -le ""scale=1000;4*a(1)""","",0,13473,3431,1622016,410,1,0,7,34916
"bc -le ""scale=1000;4*a(1)""","",0,13456,3414,1622016,410,1,0,6,35082
"bc -le ""scale=1000;4*a(1)""","",0,13465,3468,1622016,410,1,0,9,34863
"bc -le ""scale=1000;4*a(1)""","",0,13470,3438,1622016,410,1,0,9,34904
"bc -le ""scale=1000;4*a(1)""","",0,13448,3471,1622016,410,1,0,7,34860
"bc -le ""scale=1000;4*a(1)""","",0,13449,3439,1622016,410,1,0,5,34694
"bc -le ""scale=1000;4*a(1)""","",0,13506,3451,1622016,411,1,0,8,34750
"bc -le ""scale=1000;4*a(1)""","",0,13730,3420,1622016,410,1,0,6,34939
