Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=600;4*a(1)""","",0,4736,3434,1605632,423,1,0,9,26834
"bc -le ""scale=600;4*a(1)""","",0,4737,3420,1605632,423,1,0,9,26907
"bc -le ""scale=600;4*a(1)""","",0,4706,1463,1605632,423,1,0,9,27411
"bc -le ""scale=600;4*a(1)""","",0,4744,3418,1605632,423,1,0,8,26815
"bc -le ""scale=600;4*a(1)""","",0,4731,3297,1605632,423,1,0,9,26568
"bc -le ""scale=600;4*a(1)""","",0,4707,2705,1605632,423,1,0,7,26688
"bc -le ""scale=600;4*a(1)""","",0,4733,2226,1605632,423,1,0,6,26936
"bc -le ""scale=600;4*a(1)""","",0,4726,3434,1605632,423,1,0,8,26853
"bc -le ""scale=600;4*a(1)""","",0,4752,3360,1605632,423,1,0,9,27845
"bc -le ""scale=600;4*a(1)""","",0,4737,1534,1605632,423,1,0,7,27465
"bc -le ""scale=600;4*a(1)""","",0,4754,3472,1605632,423,1,0,9,27079
"bc -le ""scale=600;4*a(1)""","",0,4743,1575,1605632,423,1,0,7,26870
"bc -le ""scale=600;4*a(1)""","",0,4724,3412,1605632,423,1,0,8,26784
"bc -le ""scale=600;4*a(1)""","",0,4780,1524,1605632,423,1,0,9,27002
"bc -le ""scale=600;4*a(1)""","",0,4727,2067,1605632,423,1,0,6,26722
"bc -le ""scale=600;4*a(1)""","",0,4726,1796,1605632,423,1,0,9,26948
"bc -le ""scale=600;4*a(1)""","",0,4733,2610,1605632,425,1,0,6,26667
"bc -le ""scale=600;4*a(1)""","",0,4689,3369,1605632,425,1,0,9,26812
"bc -le ""scale=600;4*a(1)""","",0,4741,3384,1605632,425,1,0,7,26757
"bc -le ""scale=600;4*a(1)""","",0,4739,1952,1605632,424,1,0,7,26978
"bc -le ""scale=600;4*a(1)""","",0,4749,1690,1605632,424,1,0,6,26841
"bc -le ""scale=600;4*a(1)""","",0,4712,3403,1605632,424,1,0,7,26670
"bc -le ""scale=600;4*a(1)""","",0,4761,2753,1605632,424,1,0,8,26643
"bc -le ""scale=600;4*a(1)""","",0,4738,3350,1605632,424,1,0,8,26875
"bc -le ""scale=600;4*a(1)""","",0,4727,3101,1605632,424,1,0,8,26790
"bc -le ""scale=600;4*a(1)""","",0,4704,1895,1605632,424,1,0,7,26726
"bc -le ""scale=600;4*a(1)""","",0,4749,3465,1605632,424,1,0,15,27310
"bc -le ""scale=600;4*a(1)""","",0,4749,3114,1605632,424,1,0,8,27180
"bc -le ""scale=600;4*a(1)""","",0,4757,2892,1605632,424,1,0,7,26866
"bc -le ""scale=600;4*a(1)""","",0,4722,3396,1605632,424,1,0,9,26722
"bc -le ""scale=600;4*a(1)""","",0,4758,2317,1605632,424,1,0,8,26827
"bc -le ""scale=600;4*a(1)""","",0,4754,2741,1605632,427,1,0,9,27061
"bc -le ""scale=600;4*a(1)""","",0,4738,3428,1605632,424,1,0,7,26859
"bc -le ""scale=600;4*a(1)""","",0,4722,2329,1605632,424,1,0,7,26686
"bc -le ""scale=600;4*a(1)""","",0,4711,3393,1605632,424,1,0,6,26673
"bc -le ""scale=600;4*a(1)""","",0,4753,3504,1605632,424,1,0,7,26763
"bc -le ""scale=600;4*a(1)""","",0,4768,1737,1605632,424,1,0,7,26757
"bc -le ""scale=600;4*a(1)""","",0,4761,3437,1605632,426,1,0,7,26797
"bc -le ""scale=600;4*a(1)""","",0,4711,3423,1605632,425,1,0,5,26474
"bc -le ""scale=600;4*a(1)""","",0,4731,3410,1605632,425,1,0,9,26919
"bc -le ""scale=600;4*a(1)""","",0,4742,3441,1605632,425,1,0,7,27289
"bc -le ""scale=600;4*a(1)""","",0,4741,1495,1605632,425,1,0,7,26957
"bc -le ""scale=600;4*a(1)""","",0,4727,3404,1605632,425,1,0,7,26643
"bc -le ""scale=600;4*a(1)""","",0,4759,3434,1605632,425,1,0,7,26773
"bc -le ""scale=600;4*a(1)""","",0,4762,3429,1605632,426,1,0,8,26570
"bc -le ""scale=600;4*a(1)""","",0,4770,3443,1605632,425,1,0,6,28142
"bc -le ""scale=600;4*a(1)""","",0,4719,2619,1605632,425,1,0,8,26843
"bc -le ""scale=600;4*a(1)""","",0,4738,2599,1605632,425,1,0,6,26850
"bc -le ""scale=600;4*a(1)""","",0,4745,3445,1605632,425,1,0,7,26804
"bc -le ""scale=600;4*a(1)""","",0,4753,2059,1605632,425,1,0,7,26748
"bc -le ""scale=600;4*a(1)""","",0,4736,3464,1605632,425,1,0,9,26569
"bc -le ""scale=600;4*a(1)""","",0,4758,3405,1605632,425,1,0,8,26687
