Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
ps Aux,,0,9406,30109,2998272,891,1,0,19,41089
ps Aux,,0,9408,29989,3080192,896,1,0,18,40912
ps Aux,,0,9393,29933,2785280,878,1,0,20,40903
ps Aux,,0,9456,30275,2916352,886,1,0,19,41282
ps Aux,,0,9403,30295,3112960,898,1,0,18,41273
ps Aux,,0,9413,29968,3112960,898,1,0,18,40870
ps Aux,,0,9391,29976,3293184,909,1,0,18,40910
ps Aux,,0,9438,30145,2965504,889,1,0,19,41102
ps Aux,,0,9366,29867,3112960,898,1,0,19,40742
ps Aux,,0,9402,30109,3014656,892,1,0,17,41087
ps Aux,,0,9417,29912,3145728,900,1,0,17,40821
ps Aux,,0,9418,30094,3112960,898,1,0,20,40946
ps Aux,,0,9382,29989,3014656,891,1,0,18,40955
ps Aux,,0,9422,30189,3014656,891,1,0,20,41100
ps Aux,,0,9424,30141,2998272,890,1,0,18,41045
ps Aux,,0,9402,30105,3145728,900,1,0,19,41096
ps Aux,,0,9469,30707,3112960,898,1,0,19,41677
ps Aux,,0,9425,30198,2965504,888,1,0,18,41296
ps Aux,,0,9475,30154,3178496,902,1,0,17,41170
ps Aux,,0,9432,30178,3145728,900,1,0,19,41335
ps Aux,,0,9417,30510,3112960,898,1,0,18,41475
ps Aux,,0,9561,31402,3784704,939,1,0,23,42508
ps Aux,,0,10291,33458,4472832,987,1,0,26,45667
ps Aux,,0,10384,33474,4276224,975,1,0,28,46692
ps Aux,,0,10438,32591,4489216,983,1,0,46,48624
ps Aux,,0,9545,30683,3325952,911,1,0,20,41614
ps Aux,,0,9478,30222,3309568,916,1,0,18,41347
ps Aux,,0,9405,30612,3309568,910,1,0,20,41570
ps Aux,,0,9524,30971,3031040,893,1,0,19,42310
ps Aux,,0,11636,39122,5472256,1047,1,0,238,61342
ps Aux,,0,11132,34050,4767744,999,1,0,251,66985
ps Aux,,0,10383,33314,3915776,948,1,0,19,45331
ps Aux,,0,10567,35182,4653056,998,1,0,89,48362
ps Aux,,0,9932,32455,3112960,904,1,0,16,43844
ps Aux,,0,9827,32617,3850240,949,1,0,15,43782
ps Aux,,0,9574,31118,3014656,897,1,0,20,42234
ps Au,,0,9943,32325,3014656,892,1,0,19,43668
ps Au,,0,9651,31171,2965504,889,1,0,17,42200
ps Au,,0,9517,30588,2785280,878,1,0,18,41618
ps Au,,0,9679,31186,3129344,899,1,0,18,42569
ps Au,,0,9637,31179,3014656,892,1,0,18,42558
ps Au,,0,9542,30675,4112384,960,1,0,20,41843
ps Au,,0,9461,30297,3096576,899,1,0,17,41406
ps Au,,0,9494,30802,3014656,892,1,0,18,41911
ps Au,,0,9457,30565,3014656,892,1,0,20,41554
ps Au,,0,9494,30690,3325952,911,1,0,19,41710
ps Au,,0,9453,30516,3129344,899,1,0,22,41658
ps Au,,0,9393,30202,2998272,891,1,0,19,41201
ps Au,,0,9383,30037,2818048,880,1,0,19,40990
ps Au,,0,9418,30142,2785280,878,1,0,19,41060
ps Au,,0,9384,30049,2785280,878,1,0,16,40973
ps Au,,0,9406,30187,3014656,892,1,0,17,41095
ps Au,,0,9409,30472,3014656,892,1,0,18,41382
ps Au,,0,9373,30115,3014656,892,1,0,18,40789
ps Au,,0,9364,30056,2785280,878,1,0,19,40931
ps Au,,0,9419,30297,3211264,904,1,0,18,41320
ps Au,,0,9482,30567,3129344,899,1,0,16,41559
ps Au,,0,9427,30485,3047424,894,1,0,18,41562
ps Au,,0,9525,30695,3145728,901,1,0,15,41747
ps Au,,0,9615,32161,2916352,886,1,0,25,43333
ps Au,,0,10084,33341,3211264,910,1,0,18,44936
ps Au,,0,9889,31958,3014656,899,1,0,21,43410
ps Au,,0,9810,31917,2785280,878,1,0,18,43268
ps Au,,0,9592,30755,3112960,899,1,0,17,41885
ps Au,,0,9512,30569,3145728,901,1,0,19,41586
ps Au,,0,9494,30632,2785280,878,1,0,18,41623
ps Au,,0,9483,30375,3145728,901,1,0,19,41395
ps Au,,0,9520,30681,3014656,892,1,0,20,41786
ps Au,,0,9502,30467,3096576,898,1,0,18,41463
ps Au,,0,9487,30292,3145728,901,1,0,19,41329
ps Au,,0,9512,30607,2818048,880,1,0,19,41706
